Thread ID: 2148303280
Total: 0.027374

 %self     total     self     wait    child    calls  name
  0.07      0.00     0.00     0.00     0.00        1  SQLite3::Statement#execute
  0.07      0.03     0.00     0.00     0.03        4  Kernel#__send__(d1)
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Layout#default_layout
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#initialize
  0.07      0.00     0.00     0.00     0.00        9  Kernel#instance_variable_set
  0.07      0.00     0.00     0.00     0.00        1  SQLite3::Statement#get_metadata
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#constantize
  0.07      0.00     0.00     0.00     0.00        1  SQLite3::Statement#initialize
  0.07      0.00     0.00     0.00     0.00        6  String#to_i
  0.07      0.00     0.00     0.00     0.00       10  Hash#keys
  0.07      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionHandler#connected?
  0.07      0.00     0.00     0.00     0.00       11  Hash#initialize
  0.07      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.07      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#quoted_table_name
  0.07      0.00     0.00     0.00     0.00       11  Array#shift
  0.07      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#current_scoped_methods
  0.07      0.00     0.00     0.00     0.00        1  Array#sort!
  0.07      0.00     0.00     0.00     0.00        6  Class#inheritable_attributes
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#secure_compare
  0.07      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.07      0.00     0.00     0.00     0.00        3  ActionController::Base#rewrite_options
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.07      0.00     0.00     0.00     0.00        5  Object#present?
  0.07      0.00     0.00     0.00     0.00        4  SQLite3::Driver::Native::Driver#column_name
  0.07      0.00     0.00     0.00     0.00        7  Kernel#===
  0.07      0.00     0.00     0.00     0.00        5  SQLite3::Statement#must_be_open!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.07      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.07      0.00     0.00     0.00     0.00        4  SQLite3::Driver::Native::Driver#column_type
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#stylesheet_tag
  0.07      0.00     0.00     0.00     0.00        1  MonitorMixin::ConditionVariable#signal
  0.07      0.00     0.00     0.00     0.00        9  Hash#has_key?
  0.07      0.02     0.00     0.00     0.02        1  <Class::ActionController::Base>#call
  0.07      0.00     0.00     0.00     0.00       10  Kernel#object_id
  0.07      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::Array::Access#second
  0.07      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#connected?
  0.07      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch
  0.07      0.00     0.00     0.00     0.00        2  ActiveRecord::AttributeMethods#respond_to?
  0.07      0.00     0.00     0.00     0.00       11  Array#+
  0.06      0.00     0.00     0.00     0.00        3  ActionController::Routing::RouteSet::NamedRouteCollection#[]
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#compute_asset_host
  0.06      0.00     0.00     0.00     0.00        9  String#strip
  0.06      0.02     0.00     0.00     0.02        1  Rack::Lock#call
  0.06      0.02     0.00     0.00     0.02        1  ThingsController#index
