Thread ID: 2148303280
Total: 0.021052

 %self     total     self     wait    child    calls  name
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Rescue#response_code_for_rescue
  0.03      0.00     0.00     0.00     0.00        1  Object#blank?
  0.03      0.00     0.00     0.00     0.00        3  <Class::Array>#allocate
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#path_parameters
  0.03      0.00     0.00     0.00     0.00        2  Exception#message
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#fatal
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_names
  0.03      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#connection_handler
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#silence
  0.03      0.02     0.00     0.00     0.02        1  BrowsingTest#test_homepage
  0.03      0.00     0.00     0.00     0.00        3  Array#compact
  0.03      0.00     0.00     0.00     0.00        1  Module#include
  0.03      0.00     0.00     0.00     0.00        1  ActionController::RoutingError#initialize
  0.03      0.00     0.00     0.00     0.00        1  ERB::Util#h
  0.03      0.02     0.00     0.00     0.02        1  Mutex#synchronize
  0.03      0.00     0.00     0.00     0.00        3  Object#initialize
  0.03      0.00     0.00     0.00     0.00        1  <Class::Time>#now
  0.03      0.00     0.00     0.00     0.00        6  <Class::Thread>#critical=
  0.03      0.00     0.00     0.00     0.00        4  Hash#has_key?
  0.03      0.00     0.00     0.00     0.00        2  ActionView::Base#template
  0.03      0.00     0.00     0.00     0.00        3  Hash#key?
  0.03      0.00     0.00     0.00     0.00        2  <Class::Thread>#pass
  0.03      0.00     0.00     0.00     0.00        1  Rack::Utils::HeaderHash#to_hash
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#content_length
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#master_helper_module
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Layout#initialize
  0.03      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#_call
  0.03      0.00     0.00     0.00     0.00        2  Exception#to_s
  0.03      0.00     0.00     0.00     0.00        1  <Class::Exception>#exception
  0.03      0.00     0.00     0.00     0.00        1  Kernel#instance_eval
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#etag?
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_language!
  0.03      0.00     0.00     0.00     0.00        3  Hash#default=
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#rewind
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#rescue_handlers
  0.03      0.00     0.00     0.00     0.00        2  Class#inheritable_attributes
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#filter
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#view_paths(d1)
  0.03      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#lookup
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#clear_last_instantiation!
