Thread ID: 2148303280
Total: 0.021298

 %self     total     self     wait    child    calls  name
  0.14      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks::CallbackChain#run
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.14      0.00     0.00     0.00     0.00        2  ActionController::Response#charset
  0.14      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.13      0.00     0.00     0.00     0.00        3  ActionView::Helpers::TagHelper#tag
  0.13      0.00     0.00     0.00     0.00        8  String#sub
  0.13      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.13      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#evaluate_method
  0.13      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#verify
  0.13      0.00     0.00     0.00     0.00        4  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.13      0.00     0.00     0.00     0.00        4  String#tr
  0.13      0.00     0.00     0.00     0.00        1  <Module::ActiveSupport::Cache>#expand_cache_key
  0.13      0.00     0.00     0.00     0.00        1  ActionController::MimeResponds::Responder#initialize
  0.13      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47things47new46html46erb
  0.13      0.00     0.00     0.00     0.00        2  ActionController::MimeResponds::Responder#custom
  0.13      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::Array::ExtractOptions#extract_options!
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Filters::InstanceMethods#run_before_filters
  0.13      0.01     0.00     0.00     0.01        1  ActionController::MimeResponds::InstanceMethods#respond_to
  0.13      0.01     0.00     0.00     0.01        1  ActionController::Base#render_for_file
  0.12      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.12      0.00     0.00     0.00     0.00        2  ActionView::Helpers::UrlHelper#url_for
  0.12      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionHandler#connected?
  0.12      0.00     0.00     0.00     0.00        5  <Class::Time>#now
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
  0.12      0.00     0.00     0.00     0.00       10  ActionController::Base#logger
  0.12      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#flush
  0.12      0.00     0.00     0.00     0.00        3  Mime::Type::AcceptItem#==
  0.12      0.00     0.00     0.00     0.00       14  Kernel#instance_variable_get
  0.12      0.00     0.00     0.00     0.00        8  String#sub!
  0.11      0.00     0.00     0.00     0.00       12  Hash#initialize
  0.11      0.00     0.00     0.00     0.00        7  <Class::Mime::Type>#lookup
  0.11      0.00     0.00     0.00     0.00       13  Hash#has_key?
  0.11      0.00     0.00     0.00     0.00        8  ActionController::Base#request
